id,name,alias,code,level_id/id,sequence,subject_type,subject_classification,evaluable,subject_category,unit_number,bskill_number,hours,credits,description,prerequisite_ids/id,active
benglish_academy.subject_benglish_bskill_u18_7,Advanced-CONVERSATION-U18,Skill,BE-S-180,benglish_academy.level_benglish_advanced_unit18,26,core,regular,False,bskills,18,7,1,0,B-skill 7 de la Unidad 18,benglish_academy.subject_benglish_bcheck_unit18,True
benglish_academy.subject_benglish_bskill_u19_5,Advanced-CULTURE-U19,Skill,BE-S-181,benglish_academy.level_benglish_advanced_unit19,24,core,regular,False,bskills,19,5,1,0,B-skill 5 de la Unidad 19,benglish_academy.subject_benglish_bcheck_unit19,True
benglish_academy.subject_benglish_bskill_u19_6,Advanced-READ-AND-WRITE-U19,Skill,BE-S-182,benglish_academy.level_benglish_advanced_unit19,25,core,regular,False,bskills,19,6,1,0,B-skill 6 de la Unidad 19,benglish_academy.subject_benglish_bcheck_unit19,True
benglish_academy.subject_benglish_bskill_u19_7,Advanced-CONVERSATION-U19,Skill,BE-S-183,benglish_academy.level_benglish_advanced_unit19,26,core,regular,False,bskills,19,7,1,0,B-skill 7 de la Unidad 19,benglish_academy.subject_benglish_bcheck_unit19,True
benglish_academy.subject_benglish_bskill_u20_5,Advanced-CULTURE-U20,Skill,BE-S-184,benglish_academy.level_benglish_advanced_unit20,24,core,regular,False,bskills,20,5,1,0,B-skill 5 de la Unidad 20,benglish_academy.subject_benglish_bcheck_unit20,True
benglish_academy.subject_benglish_bskill_u20_6,Advanced-READ-AND-WRITE-U20,Skill,BE-S-185,benglish_academy.level_benglish_advanced_unit20,25,core,regular,False,bskills,20,6,1,0,B-skill 6 de la Unidad 20,benglish_academy.subject_benglish_bcheck_unit20,True
benglish_academy.subject_benglish_bskill_u20_7,Advanced-CONVERSATION-U20,Skill,BE-S-186,benglish_academy.level_benglish_advanced_unit20,26,core,regular,False,bskills,20,7,1,0,B-skill 7 de la Unidad 20,benglish_academy.subject_benglish_bcheck_unit20,True
benglish_academy.subject_benglish_bskill_u21_5,Advanced-CULTURE-U21,Skill,BE-S-187,benglish_academy.level_benglish_advanced_unit21,24,core,regular,False,bskills,21,5,1,0,B-skill 5 de la Unidad 21,benglish_academy.subject_benglish_bcheck_unit21,True
benglish_academy.subject_benglish_bskill_u21_6,Advanced-READ-AND-WRITE-U21,Skill,BE-S-188,benglish_academy.level_benglish_advanced_unit21,25,core,regular,False,bskills,21,6,1,0,B-skill 6 de la Unidad 21,benglish_academy.subject_benglish_bcheck_unit21,True
benglish_academy.subject_benglish_bskill_u21_7,Advanced-CONVERSATION-U21,Skill,BE-S-189,benglish_academy.level_benglish_advanced_unit21,26,core,regular,False,bskills,21,7,1,0,B-skill 7 de la Unidad 21,benglish_academy.subject_benglish_bcheck_unit21,True
benglish_academy.subject_benglish_bskill_u22_5,Advanced-CULTURE-U22,Skill,BE-S-190,benglish_academy.level_benglish_advanced_unit22,24,core,regular,False,bskills,22,5,1,0,B-skill 5 de la Unidad 22,benglish_academy.subject_benglish_bcheck_unit22,True
benglish_academy.subject_benglish_bskill_u22_6,Advanced-READ-AND-WRITE-U22,Skill,BE-S-191,benglish_academy.level_benglish_advanced_unit22,25,core,regular,False,bskills,22,6,1,0,B-skill 6 de la Unidad 22,benglish_academy.subject_benglish_bcheck_unit22,True
benglish_academy.subject_benglish_bskill_u22_7,Advanced-CONVERSATION-U22,Skill,BE-S-192,benglish_academy.level_benglish_advanced_unit22,26,core,regular,False,bskills,22,7,1,0,B-skill 7 de la Unidad 22,benglish_academy.subject_benglish_bcheck_unit22,True
benglish_academy.subject_benglish_bskill_u23_5,Advanced-CULTURE-U23,Skill,BE-S-193,benglish_academy.level_benglish_advanced_unit23,24,core,regular,False,bskills,23,5,1,0,B-skill 5 de la Unidad 23,benglish_academy.subject_benglish_bcheck_unit23,True
benglish_academy.subject_benglish_bskill_u23_6,Advanced-READ-AND-WRITE-U23,Skill,BE-S-194,benglish_academy.level_benglish_advanced_unit23,25,core,regular,False,bskills,23,6,1,0,B-skill 6 de la Unidad 23,benglish_academy.subject_benglish_bcheck_unit23,True
benglish_academy.subject_benglish_bskill_u23_7,Advanced-CONVERSATION-U23,Skill,BE-S-195,benglish_academy.level_benglish_advanced_unit23,26,core,regular,False,bskills,23,7,1,0,B-skill 7 de la Unidad 23,benglish_academy.subject_benglish_bcheck_unit23,True
benglish_academy.subject_benglish_bskill_u24_5,Advanced-CULTURE-U24,Skill,BE-S-196,benglish_academy.level_benglish_advanced_unit24,24,core,regular,False,bskills,24,5,1,0,B-skill 5 de la Unidad 24,benglish_academy.subject_benglish_bcheck_unit24,True
benglish_academy.subject_benglish_bskill_u24_6,Advanced-READ-AND-WRITE-U24,Skill,BE-S-197,benglish_academy.level_benglish_advanced_unit24,25,core,regular,False,bskills,24,6,1,0,B-skill 6 de la Unidad 24,benglish_academy.subject_benglish_bcheck_unit24,True
benglish_academy.subject_benglish_bskill_u24_7,Advanced-CONVERSATION-U24,Skill,BE-S-198,benglish_academy.level_benglish_advanced_unit24,26,core,regular,False,bskills,24,7,1,0,B-skill 7 de la Unidad 24,benglish_academy.subject_benglish_bcheck_unit24,True
